"","CUAL","LNGS","PTLC","DSTA","LFRT","LBTEF","CBTR","NMLB","ANGB","CUAL9M","LVC9M","TNPR9M","PL9M","STRP","STRC","PSTR","NMSR","TTRN","TFWSR","TTRW","TFWSS","TTSW","TTPW","AVPW","ARSR","SRDM","Cluster"
"TMe-369","Green purple","Long","Green purple","Central part","50-75% leaf retention","0","Cream","1","150-300","Dark green","Green purple","4","Long (25-30cm)","Absent","Present","Irregular",15,5,6,2,8.2,2.73333333333333,14.2,4.73333333333333,3,31.6,II
"TMe-373","Green purple","Medium","Green purple","Top part","50-75% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",18,3.6,21.4,4.28,28.4,5.68,49.8,9.96,0,38.8,V
"TMe-376","Green purple","Medium","Green purple","Central part","50-75% leaf retention","4","Cream","4","450-600","Purple","Dark green","4","Long (25-30cm)","Absent","Absent","Tending toward horizontal",16,4,6.2,1.55,13,3.25,19.2,4.8,0,36,V
"TMe-377","Dark green","Long","Green purple","Central part","50-75% leaf retention","0","White","0","No branching","Dark green","Green purple","5","Long (25-30cm)","Short","Present","Tending toward horizontal",6,1.5,2,0.5,5,1.25,7,1.75,1,43.1,II
"TMe-378","Green purple","Medium","Red","Totally pigmented","50-75% leaf retention","4","White","3","450-600","Green purple","Dark green","4","Long (25-30cm)","Absent","Absent","Tending toward horizontal",13,3.25,7,1.75,12,3,19,4.75,0,37,V
"TMe-380","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","2","Cream","2","450-600","Dark green","Green purple","5","Long (25-30cm)","Short","Present","Irregular",12,2.4,10,2,5.4,1.08,15.4,3.08,2,42.2,IV
"TMe-381","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","0","Cream","0","No branching","Green","Green purple","5","Medium (15-20cm)","Absent","Present","Irregular",12,3,3,0.75,5,1.25,8,2,0,37.2,III
"TMe-382","Green purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","4","450-600","Green purple","Dark green","5","Medium (15-20cm)","Absent","Present","Irregular",16,5.33333333333333,2.8,0.933333333333333,13,4.33333333333333,15.8,5.26666666666667,2,35.3,V
"TMe-383","Dark green","Medium","Purple","Totally pigmented","50-75% leaf retention","1","Cream","1","150-300","Dark green","Green purple","5","Long (25-30cm)","Short","Absent","Irregular",5,1.25,2.6,0.65,0.8,0.2,3.4,0.85,0,44.6,IV
"TMe-385","Green purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","3","750-900","Purple","Dark green","4","Long (25-30cm)","Absent","Present","Irregular",12,4,3,1,7,2.33333333333333,10,3.33333333333333,3,33.7,V
