"","CUAL","LNGS","PTLC","DSTA","LFRT","LBTEF","CBTR","NMLB","ANGB","CUAL9M","LVC9M","TNPR9M","PL9M","STRP","STRC","PSTR","NMSR","TTRN","TFWSR","TTRW","TFWSS","TTSW","TTPW","AVPW","ARSR","SRDM","Cluster"
"TMe-1556","Purple","Medium","Green purple","Central part","25-50% leaf retention","3","Cream","5","450-600","Purple","Dark green","5","Medium (15-20cm)","Short","Present","Tending toward horizontal",15,3,2.2,0.44,6.2,1.24,8.4,1.68,1,37.8,V
"TMe-1558","Green purple","Medium","Green purple","Top part","25-50% leaf retention","2","Cream","2","450-600","Dark green","Dark green","4","Medium (15-20cm)","Short","Absent","Tending toward horizontal",5,1.66666666666667,0.6,0.2,0.8,0.266666666666667,1.4,0.466666666666667,1,38,VI
"TMe-1559","Purple","Medium","Green purple","Top part","50-75% leaf retention","2","Cream","3","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",14,3.5,7.2,1.8,8.4,2.1,15.6,3.9,2,41,V
"TMe-1560","Green purple","Medium","Green purple","Top part","25-50% leaf retention","4","Cream","4","450-600","Purple","Dark green","3","Medium (15-20cm)","Short","Present","Tending toward horizontal",9,4.5,9,4.5,10.4,5.2,19.4,9.7,0,38.1,VI
"TMe-1566","Green purple","Long","Red","Absent","50-75% leaf retention","2","Cream","3","450-600","Purple","Dark green","3","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",7,2.33333333333333,4.6,1.53333333333333,8,2.66666666666667,12.6,4.2,2,43.6,VI
"TMe-1572","Purple","Long","Green purple","Central part","50-75% leaf retention","1","Cream","2","450-600","Purple","Dark green","5","Long (25-30cm)","Absent","Present","Irregular",15,3.75,10,2.5,12.2,3.05,22.2,5.55,6,30.1,V
"TMe-1575","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","3","White","5","450-600","Green purple","Green purple","1","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",3,3,3.2,3.2,4.8,4.8,8,8,2,38.8,IV
"TMe-1579","Dark green","Medium","Purple","Totally pigmented","25-50% leaf retention","1","Cream","1","150-300","Light green","Green purple","2","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",5,1.66666666666667,1.2,0.4,2,0.666666666666667,3.2,1.06666666666667,2,40.1,IV
"TMe-1580","Dark green","Medium","Purple","Totally pigmented","50-75% leaf retention","1","White","1","150-300","Dark green","Green purple","5","Medium (15-20cm)","Absent","Present","Tending toward horizontal",12,3,2.2,0.55,1,0.25,3.2,0.8,10,39.2,IV
"TMe-1581","Purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","3","450-600","Purple","Green purple","3","Medium (15-20cm)","Short","Present","Tending toward horizontal",13,6.5,2,1,2.2,1.1,4.2,2.1,10,30.2,I
"TMe-1589","Purple","Medium","Green purple","Top part","50-75% leaf retention","1","Cream","2","450-600","Purple","Green purple","3","Medium (15-20cm)","Short","Present","Tending toward horizontal",14,7,4.8,2.4,5.2,2.6,10,5,9,40.5,I
"TMe-1592","Green purple","Short","Green purple","Central part","25-50% leaf retention","3","Cream","4","450-600","Green purple","Green purple","5","Medium (15-20cm)","Short","Present","Irregular",14,2.8,2.4,0.48,6.2,1.24,8.6,1.72,4,34.2,VI
"TMe-1597","Purple","Medium","Purple","Totally pigmented","50-75% leaf retention","0","Cream","1","450-600","Purple","Green purple","5","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",15,3,4.2,0.84,8,1.6,12.2,2.44,4,31.1,IV
"TMe-1600","Dark green","Medium","Green purple","Central part","50-75% leaf retention","1","Cream","1","150-300","Light green","Green purple","3","Long (25-30cm)","Short","Present","Tending toward horizontal",11,5.5,3.2,1.6,3,1.5,6.2,3.1,10,35.5,I
"TMe-1608","Green purple","Long","Light green","Absent","25-50% leaf retention","3","Cream","4","450-600","Purple","Dark green","5","Long (25-30cm)","Intermediate","Present","Irregular",15,3.75,2.4,0.6,8,2,10.4,2.6,3,37.4,VI
"TMe-1609","Purple","Long","Green purple","Top part","25-50% leaf retention","2","Cream","3","450-600","Purple","Dark green","5","Long (25-30cm)","Absent","Present","Tending toward horizontal",24,6,6.2,1.55,10,2.5,16.2,4.05,5,40.3,V
"TMe-1616","Green purple","Medium","Green purple","Central part","25-50% leaf retention","0","Cream","0","No branching","Purple","Dark green","1","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",3,3,0.4,0.4,0.6,0.6,1,1,0,35.2,II
"TMe-1619","Purple","Medium","Green purple","Central part","25-50% leaf retention","0","Cream","0","No branching","Purple","Dark green","4","Medium (15-20cm)","Absent","Present","Irregular",20,5,3.4,0.85,6,1.5,9.4,2.35,7,30.2,II
"TMe-1643","Purple","Medium","Green purple","Top part","50-75% leaf retention","3","Cream","4","450-600","Purple","Dark green","2","Long (25-30cm)","Absent","Present","Irregular",16,5.33333333333333,4.6,1.53333333333333,12,4,16.6,5.53333333333333,3,21,V
"TMe-1646","Green purple","Medium","Green purple","Top part","50-75% leaf retention","3","Cream","5","450-600","Dark green","Dark green","4","Medium (15-20cm)","Intermediate","Present","Irregular",16,4,19,4.75,22,5.5,41,10.25,0,36.1,VI
"TMe-1651","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","2","Cream","2","450-600","Dark green","Green purple","4","Long (25-30cm)","Long","Present","Tending toward horizontal",8,2,4,1,4,1,8,2,2,40.9,IV
"TMe-1652","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","2","Cream","2","150-300","Dark green","Green purple","4","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",8,2.66666666666667,2,0.666666666666667,4.6,1.53333333333333,6.6,2.2,1,42,IV
"TMe-1661","Green purple","Medium","Light green","Absent","25-50% leaf retention","3","Cream","4","750-900","Dark green","Dark green","5","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",12,3,3,0.75,5,1.25,8,2,4,38.4,VI
"TMe-1668","Purple","Short","Green purple","Central part","50-75% leaf retention","0","White","0","No branching","Purple","Green purple","2","Long (25-30cm)","Short","Present","Tending toward horizontal",6,6,1.2,1.2,4,4,5.2,5.2,0,41.7,II
"TMe-1675","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","0","Cream","0","No branching","Purple","Green purple","5","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",6,2,3.2,1.06666666666667,4.4,1.46666666666667,7.6,2.53333333333333,1,41.1,III
"TMe-1676","Green purple","Medium","Green purple","Central part","50-75% leaf retention","2","White","4","450-600","Purple","Dark green","5","Medium (15-20cm)","Short","Present","Irregular",23,4.6,4.6,0.92,6.2,1.24,10.8,2.16,5,41.4,VI
"TMe-1678","Green purple","Medium","Green purple","Top part","25-50% leaf retention","2","Cream","3","450-600","Purple","Dark green","3","Long (25-30cm)","Absent","Present","Tending toward horizontal",16,5.33333333333333,4.6,1.53333333333333,10.8,3.6,15.4,5.13333333333333,3,39.1,VI
"TMe-1696","Green purple","Medium","Green purple","Central part","50-75% leaf retention","1","Cream","2","150-300","Dark green","Green purple","5","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",11,2.75,4.8,1.2,6,1.5,10.8,2.7,5,43.5,I
"TMe-1704","Green purple","Medium","Green purple","Central part","50-75% leaf retention","2","Cream","4","450-600","Purple","Dark green","4","Medium (15-20cm)","Short","Present","Tending toward horizontal",16,4,4,1,7,1.75,11,2.75,7,39.2,VI
"TMe-1717","Dark green","Medium","Green purple","Central part","50-75% leaf retention","1","Cream","2","150-300","Dark green","Green purple","5","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",12,2.4,8,1.6,10.2,2.04,18.2,3.64,6,42.2,I
"TMe-1722","Green purple","Long","Green purple","Central part","25-50% leaf retention","2","Cream","4","450-600","Purple","Dark green","2","Long (25-30cm)","Absent","Absent","Tending toward horizontal",11,5.5,2,1,5.2,2.6,7.2,3.6,3,35.5,V
"TMe-1723","Green purple","Medium","Light green","Absent","25-50% leaf retention","3","Cream","4","450-600","Purple","Dark green","4","Medium (15-20cm)","Short","Present","Tending toward horizontal",15,5,4,1.33333333333333,1.2,0.4,5.2,1.73333333333333,14,36.8,VI
"TMe-1733","Purple","Medium","Green purple","Central part","25-50% leaf retention","2","Cream","3","450-600","Purple","Dark green","5","Medium (15-20cm)","Short","Present","Irregular",23,7.66666666666667,4.4,1.46666666666667,10,3.33333333333333,14.4,4.8,3,41.9,V
"TMe-1734","Dark green","Medium","Green purple","Central part","50-75% leaf retention","1","Cream","2","150-300","Light green","Green purple","3","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",15,7.5,5,2.5,7,3.5,12,6,1,41,I
"TMe-1739","Dark green","Medium","Green purple","Central part","50-75% leaf retention","1","Cream","0","No branching","Dark green","Green purple","4","Long (25-30cm)","Intermediate","Absent","Tending toward horizontal",17,5.66666666666667,2,0.666666666666667,5.2,1.73333333333333,7.2,2.4,6,39.7,II
"TMe-1744","Green purple","Medium","Light green","Absent","25-50% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Long (25-30cm)","Intermediate","Present","Irregular",14,2.8,7,1.4,11,2.2,18,3.6,2,42.4,VI
"TMe-1762","Purple","Long","Green purple","Top part","25-50% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Present","Irregular",19,6.33333333333333,5.4,1.8,5,1.66666666666667,10.4,3.46666666666667,12,42.4,V
"TMe-1765","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","2","Cream","2","150-300","Dark green","Green purple","2","Medium (15-20cm)","Short","Present","Tending toward horizontal",3,3,0.4,0.4,0.8,0.8,1.2,1.2,0,43.2,IV
"TMe-1766","Dark green","Medium","Green purple","Central part","50-75% leaf retention","0","White","0","No branching","Dark green","Green purple","1","Long (25-30cm)","Intermediate","Absent","Tending toward horizontal",4,4,1.2,1.2,2.4,2.4,3.6,3.6,1,48.6,II
"TMe-1769","Green purple","Medium","Light green","Absent","25-50% leaf retention","3","Cream","4","750-900","Purple","Light green","4","Long (25-30cm)","Short","Present","Irregular",22,5.5,10,2.5,19.2,4.8,29.2,7.3,0,48.2,VI
"TMe-1777","Purple","Medium","Green purple","Central part","25-50% leaf retention","0","Cream","2","150-300","Purple","Green purple","5","Long (25-30cm)","Short","Present","Tending toward horizontal",8,2.66666666666667,1.2,0.4,2.4,0.8,3.6,1.2,3,38.3,I
"TMe-1778","Purple","Medium","Green purple","Central part","25-50% leaf retention","2","Cream","3","450-600","Purple","Dark green","5","Medium (15-20cm)","Short","Absent","Irregular",19,4.75,3.2,0.8,8.2,2.05,11.4,2.85,0,46.4,V
"TMe-1785","Green purple","Medium","Green purple","Top part","25-50% leaf retention","3","Cream","3","450-600","Green purple","Dark green","5","Long (25-30cm)","Absent","Present","Tending toward horizontal",20,5,7.2,1.8,10,2.5,17.2,4.3,5,36.8,V
"TMe-1788","Purple","Medium","Green purple","Top part","25-50% leaf retention","3","Cream","3","450-600","Purple","Dark green","3","Medium (15-20cm)","Short","Present","Tending toward horizontal",8,4,1,0.5,5.6,2.8,6.6,3.3,3,27.3,V
"TMe-1796","Green purple","Medium","Green purple","Central part","25-50% leaf retention","3","Cream","4","450-600","Dark green","Green","5","Medium (15-20cm)","Long","Absent","Irregular",35,8.75,5.2,1.3,10,2.5,15.2,3.8,0,41.2,VI
"TMe-1802","Green purple","Medium","Green purple","Central part","25-50% leaf retention","2","Cream","3","150-300","Purple","Dark green","5","Medium (15-20cm)","Short","Present","Tending toward horizontal",24,6,3,0.75,7,1.75,10,2.5,3,39.9,V
"TMe-1828","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","3","Cream","4","450-600","Dark green","Green purple","5","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",14,2.8,4.6,0.92,3.2,0.64,7.8,1.56,4,45.2,IV
"TMe-1832","Green purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","5","450-600","Purple","Green purple","5","Medium (15-20cm)","Intermediate","Absent","Irregular",17,4.25,4.6,1.15,7.4,1.85,12,3,2,42.6,VI
"TMe-1833","Dark green","Medium","Green purple","Central part","50-75% leaf retention","0","Cream","0","No branching","Dark green","Green purple","4","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",15,3.75,3.8,0.95,7,1.75,10.8,2.7,2,37.3,II
"TMe-1835","Purple","Medium","Green purple","Central part","25-50% leaf retention","3","Cream","4","450-600","Purple","Green purple","5","Medium (15-20cm)","Intermediate","Present","Irregular",16,4,5,1.25,9.6,2.4,14.6,3.65,0,44,VI
"TMe-1956","Purple","Medium","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Purple","Green purple","3","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",5,2.5,1,0.5,2,1,3,1.5,2,38.6,III
"TMe-1988","Purple","Medium","Red","Totally pigmented","50-75% leaf retention","4","Cream","5","450-600","Green purple","Green purple","5","Medium (15-20cm)","Short","Present","Tending toward horizontal",20,5,12,3,18,4.5,30,7.5,0,44.7,IV
"TMe-2003","Purple","Medium","Green purple","Top part","25-50% leaf retention","2","White","2","450-600","Dark green","Dark green","5","Long (25-30cm)","Absent","Absent","Tending toward horizontal",12,2.4,2.8,0.56,3.6,0.72,6.4,1.28,5,43.4,V
"TMe-2036","Green purple","Short","Purple","Totally pigmented","25-50% leaf retention","3","Cream","3","450-600","Green purple","Green purple","4","Medium (15-20cm)","Short","Present","Tending toward horizontal",12,2.4,5.4,1.08,6.2,1.24,11.6,2.32,5,37.9,IV
"TMe-2139","Purple","Long","Green purple","Central part","25-50% leaf retention","1","Cream","2","150-300","Dark green","Dark green","5","Long (25-30cm)","Short","Present","Tending toward horizontal",17,4.25,5.2,1.3,9.4,2.35,14.6,3.65,0,32.4,V
"TMe-2216","Green purple","Medium","Green purple","Central part","<25% leaf retention","2","Cream","3","450-600","Dark green","Green purple","2","Long (25-30cm)","Short","Absent","Tending toward horizontal",1,1,2.4,2.4,1.2,1.2,3.6,3.6,0,43.4,I
"TMe-2226","Green purple","Medium","Green purple","Central part","50-75% leaf retention","0","Cream","2","150-300","Dark green","Green purple","5","Long (25-30cm)","Long","Present","Tending toward horizontal",20,4,18.4,3.68,15,3,33.4,6.68,5,45.2,I
"TMe-2251","Green purple","Medium","Green purple","Central part","25-50% leaf retention","1","Cream","1","150-300","Green purple","Green purple","5","Long (25-30cm)","Short","Present","Tending toward horizontal",13,3.25,6,1.5,8,2,14,3.5,2,43.2,I
"TMe-2257","Green purple","Medium","Green purple","Central part","50-75% leaf retention","0","White","0","No branching","Dark green","Green purple","4","Long (25-30cm)","Absent","Present","Irregular",22,5.5,3.6,0.9,2.4,0.6,6,1.5,9,43.2,II
"TMe-2268","Purple","Long","Green purple","Central part","50-75% leaf retention","0","White","0","No branching","Purple","Dark green","5","Long (25-30cm)","Absent","Present","Irregular",16,3.2,3,0.6,4.6,0.92,7.6,1.52,5,33.4,II
"TMe-2271","Purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Medium (15-20cm)","Short","Present","Tending toward horizontal",25,5,10.2,2.04,14.8,2.96,25,5,3,39,V
"TMe-2285","Dark green","Medium","Purple","Totally pigmented","25-50% leaf retention","0","Cream","0","No branching","Dark green","Green purple","2","Long (25-30cm)","Short","Absent","Tending toward horizontal",7,3.5,2,1,1.8,0.9,3.8,1.9,1,40.5,III
"TMe-2308","Green purple","Medium","Light green","Absent","50-75% leaf retention","3","Cream","4","450-600","Dark green","Dark green","5","Medium (15-20cm)","Short","Absent","Tending toward horizontal",12,3,9.2,2.3,8.4,2.1,17.6,4.4,2,42.8,VI
"TMe-2318","Dark green","Medium","Purple","Totally pigmented","25-50% leaf retention","2","Cream","2","150-300","Dark green","Green purple","5","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",5,2.5,4.6,2.3,2,1,6.6,3.3,2,21.1,IV
"TMe-2326","Purple","Long","Green purple","Central part","25-50% leaf retention","3","Cream","3","450-600","Purple","Dark green","4","Long (25-30cm)","Short","Present","Tending toward horizontal",11,3.66666666666667,3.4,1.13333333333333,6.2,2.06666666666667,9.6,3.2,2,29.7,V
"TMe-2329","Green purple","Medium","Green purple","Central part","<100% leaf retention","0","Cream","0","No branching","Green purple","Green purple","5","Long (25-30cm)","Absent","Absent","Irregular",26,5.2,11,2.2,20.2,4.04,31.2,6.24,8,39.5,II
"TMe-2332","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","1","Cream","1","150-300","Dark green","Green purple","4","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",10,2,6.4,1.28,7.2,1.44,13.6,2.72,2,38.6,IV
"TMe-2337","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","2","White","1","150-300","Dark green","Green purple","5","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",18,4.5,5.2,1.3,6,1.5,11.2,2.8,6,41.4,IV
"TMe-2339","Purple","Medium","Green purple","Top part","50-75% leaf retention","2","Cream","4","450-600","Purple","Dark green","5","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",15,3.75,10.2,2.55,14.4,3.6,24.6,6.15,1,34.9,V
"TMe-2340","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","2","Cream","2","450-600","Dark green","Green purple","5","Medium (15-20cm)","Short","Present","Tending toward horizontal",12,2.4,3,0.6,4.2,0.84,7.2,1.44,1,40.5,IV
"TMe-2350","Dark green","Medium","Purple","Totally pigmented","25-50% leaf retention","3","Cream","3","450-600","Green purple","Green purple","5","Long (25-30cm)","Intermediate","Absent","Tending toward horizontal",23,5.75,4,1,9.4,2.35,13.4,3.35,1,40.5,IV
"TMe-2352","Green purple","Medium","Light green","Absent","50-75% leaf retention","0","White","0","No branching","Green purple","Dark green","1","Medium (15-20cm)","Short","Absent","Tending toward horizontal",3,3,1.4,1.4,2.2,2.2,3.6,3.6,1,28.4,II
"TMe-2355","Purple","Long","Green purple","Top part","50-75% leaf retention","3","Cream","6","750-900","Purple","Green purple","1","Medium (15-20cm)","Short","Present","Tending toward horizontal",9,9,3.6,3.6,6.4,6.4,10,10,0,39.7,V
"TMe-2361","Purple","Long","Green purple","Top part","50-75% leaf retention","3","Cream","4","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Irregular",24,8,5.2,1.73333333333333,9.8,3.26666666666667,15,5,6,37,V
"TMe-2367","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","0","Cream","1","150-300","Green purple","Green purple","5","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",8,1.6,4.2,0.84,5.4,1.08,9.6,1.92,0,41.1,IV
"TMe-2375","Dark green","Medium","Purple","Totally pigmented","25-50% leaf retention","2","Cream","1","450-600","Green purple","Green purple","4","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",9,2.25,3.6,0.9,6,1.5,9.6,2.4,1,37.3,IV
"TMe-2378","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","3","Cream","3","450-600","Dark green","Green purple","3","Long (25-30cm)","Intermediate","Present","Irregular",10,3.33333333333333,3.4,1.13333333333333,4.6,1.53333333333333,8,2.66666666666667,1,39.7,IV
"TMe-2390","Purple","Medium","Purple","Totally pigmented","25-50% leaf retention","2","Cream","3","450-600","Purple","Green purple","5","Long (25-30cm)","Short","Present","Tending toward horizontal",10,3.33333333333333,4.2,1.4,7,2.33333333333333,11.2,3.73333333333333,3,37,IV
"TMe-2394","Purple","Medium","Purple","Totally pigmented","50-75% leaf retention","0","Cream","0","No branching","Purple","Green purple","5","Long (25-30cm)","Short","Present","Tending toward horizontal",9,2.25,6.8,1.7,4,1,10.8,2.7,4,32.6,III
"TMe-2399","Purple","Medium","Purple","Totally pigmented","50-75% leaf retention","2","Cream","3","150-300","Purple","Green purple","3","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",10,2.5,4,1,6.8,1.7,10.8,2.7,3,37.4,IV
"TMe-2400","Purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Present","Tending toward horizontal",13,3.25,5.2,1.3,6.8,1.7,12,3,6,31.4,V
"TMe-2402","Green purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","3","450-600","Green purple","Light green","4","Medium (15-20cm)","Short","Present","Tending toward horizontal",17,5.66666666666667,5.6,1.86666666666667,6,2,11.6,3.86666666666667,2,37.2,VI
"TMe-2405","Purple","Medium","Purple","Totally pigmented","50-75% leaf retention","1","Cream","0","No branching","Purple","Green purple","5","Medium (15-20cm)","Short","Present","Tending toward horizontal",7,2.33333333333333,3,1,3.4,1.13333333333333,6.4,2.13333333333333,2,31.7,III
"TMe-2410","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","1","White","1","150-300","Dark green","Green purple","3","Medium (15-20cm)","Short","Absent","Tending toward horizontal",9,3,2.4,0.8,3.6,1.2,6,2,2,40.5,IV
"TMe-2412","Purple","Medium","Green purple","Central part","50-75% leaf retention","0","Cream","0","No branching","Purple","Dark green","2","Medium (15-20cm)","Short","Present","Tending toward horizontal",12,6,3.2,1.6,6,3,9.2,4.6,2,38.4,II
"TMe-2414","Dark green","Medium","Green purple","Central part","25-50% leaf retention","0","Cream","0","No branching","Dark green","Green purple","2","Medium (15-20cm)","Short","Absent","Tending toward horizontal",6,2,3.6,1.2,6.4,2.13333333333333,10,3.33333333333333,0,44.3,II
"TMe-2428","Green purple","Medium","Green purple","Central part","25-50% leaf retention","0","White","0","No branching","Purple","Green purple","3","Long (25-30cm)","Absent","Present","Tending toward horizontal",2,1,2,1,4.2,2.1,6.2,3.1,0,39.7,II
"TMe-2453","Dark green","Medium","Green purple","Central part","25-50% leaf retention","1","Cream","2","450-600","Dark green","Green purple","5","Long (25-30cm)","Short","Present","Tending toward horizontal",25,6.25,4.8,1.2,10,2.5,14.8,3.7,3,38.5,I
"TMe-2458","Purple","Medium","Purple","Totally pigmented","25-50% leaf retention","1","Cream","1","450-600","Purple","Green purple","4","Long (25-30cm)","Short","Present","Tending toward horizontal",13,3.25,4.2,1.05,9.6,2.4,13.8,3.45,2,40.2,IV
"TMe-2462","Green purple","Short","Green purple","Central part","50-75% leaf retention","2","Cream","3","750-900","Dark green","Light green","3","Medium (15-20cm)","Intermediate","Absent","Tending toward horizontal",6,3,4.4,2.2,10.2,5.1,14.6,7.3,1,43.2,I
"TMe-2510","Green purple","Long","Light green","Absent","25-50% leaf retention","0","Cream","1","450-600","Dark green","Dark green","4","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",8,1.6,3,0.6,1.2,0.24,4.2,0.84,5,35.3,VI
"TMe-2513","Green purple","Medium","Green purple","Central part","50-75% leaf retention","0","Cream","4","450-600","Dark green","Dark green","5","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",19,3.8,9.2,1.84,3.2,0.64,12.4,2.48,15,22.6,I
"TMe-2535","Purple","Long","Green purple","Central part","25-50% leaf retention","3","Cream","4","450-600","Purple","Dark green","2","Medium (15-20cm)","Absent","Present","Irregular",10,5,4.8,2.4,9.8,4.9,14.6,7.3,4,36.2,VI
"TMe-2543","Dark green","Medium","Green purple","Central part","50-75% leaf retention","2","White","3","150-300","Dark green","Dark green","3","Medium (15-20cm)","Short","Present","Irregular",10,3.33333333333333,2.6,0.866666666666667,5.4,1.8,8,2.66666666666667,2,40,VI
"TMe-2567","Green purple","Short","Purple","Totally pigmented","50-75% leaf retention","3","White","7","450-600","Purple","Green purple","5","Medium (15-20cm)","Short","Present","Irregular",19,4.75,7.6,1.9,20.4,5.1,28,7,0,37.3,IV
"TMe-2568","Purple","Long","Green purple","Top part","50-75% leaf retention","1","White","0","No branching","Purple","Green purple","1","Long (25-30cm)","Short","Present","Tending toward horizontal",3,3,3,3,6.4,6.4,9.4,9.4,0,34.9,II
"TMe-2756","Light green","Medium","Purple","Totally pigmented","<100% leaf retention","0","Cream","0","No branching","Light green","Green purple","5","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",27,5.4,3.2,0.64,2.8,0.56,6,1.2,2,41.4,III
"TMe-2758","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","2","White","3","450-600","Dark green","Green purple","4","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",2,2,1.2,1.2,2.4,2.4,3.6,3.6,0,39,IV
"TMe-2769","Purple","Long","Green purple","Top and bottom","50-75% leaf retention","2","Cream","3","450-600","Purple","Dark green","4","Long (25-30cm)","Absent","Present","Tending toward horizontal",10,3.33333333333333,2,0.666666666666667,3.2,1.06666666666667,5.2,1.73333333333333,2,32.9,V
"TMe-2775","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","2","White","1","450-600","Dark green","Green purple","5","Medium (15-20cm)","Short","Present","Irregular",10,2,3.4,0.68,8.4,1.68,11.8,2.36,3,40.8,IV
"TMe-2814","Dark green","Medium","Green purple","Central part","50-75% leaf retention","0","White","0","No branching","Dark green","Green purple","3","Medium (15-20cm)","Short","Absent","Tending toward horizontal",1,1,1.2,1.2,0.8,0.8,2,2,0,42.7,II
"TMe-2835","Purple","Long","Green purple","Top and bottom","50-75% leaf retention","2","Cream","3","450-600","Purple","Dark green","2","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",8,4,2,1,3.8,1.9,5.8,2.9,4,36,V
"TMe-2841","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","0","White","1","150-300","Dark green","Green purple","2","Long (25-30cm)","Short","Present","Irregular",4,4,1.2,1.2,0.4,0.4,1.6,1.6,3,33,IV
"TMe-2843","Dark green","Medium","Green purple","Central part","50-75% leaf retention","0","White","0","No branching","Dark green","Dark green","1","Medium (15-20cm)","Intermediate","Absent","Tending toward horizontal",1,1,0.6,0.6,1,1,1.6,1.6,0,22.1,II
"TMe-2845","Purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","4","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Present","Irregular",20,5,5.4,1.35,9.2,2.3,14.6,3.65,4,35.9,V
"TMe-2860","Dark green","Long","Purple","Totally pigmented","50-75% leaf retention","0","White","0","No branching","Light green","Green purple","2","Medium (15-20cm)","Short","Present","Irregular",3,1.5,1,0.5,0.4,0.2,1.4,0.7,0,20.3,II
"TMe-2890","Purple","Medium","Purple","Totally pigmented","50-75% leaf retention","3","White","6","450-600","Purple","Green purple","2","Long (25-30cm)","Short","Present","Tending toward horizontal",7,2.33333333333333,1.6,0.533333333333333,1,0.333333333333333,2.6,0.866666666666667,6,34.4,IV
"TMe-2901","Dark green","Medium","Purple","Totally pigmented","50-75% leaf retention","0","Cream","0","No branching","Light green","Green purple","3","Long (25-30cm)","Intermediate","Absent","Tending toward horizontal",1,1,0.6,0.6,1,1,1.6,1.6,0,36.2,III
"TMe-2903","Purple","Long","Green purple","Central part","<100% leaf retention","0","White","0","No branching","Purple","Green purple","2","Long (25-30cm)","Absent","Present","Tending toward horizontal",12,6,3.8,1.9,4.8,2.4,8.6,4.3,3,35.1,II
"TMe-2904","Green purple","Long","Green purple","Central part","50-75% leaf retention","2","White","2","450-600","Purple","Green purple","2","Long (25-30cm)","Absent","Present","Tending toward horizontal",6,3,4.2,2.1,7,3.5,11.2,5.6,8,38,V
"TMe-2905","Purple","Long","Green purple","Central part","50-75% leaf retention","2","White","3","450-600","Purple","Green purple","5","Long (25-30cm)","Absent","Absent","Tending toward horizontal",2,0.5,28,7,9.2,2.3,37.2,9.3,8,35.8,V
"TMe-2906","Green purple","Long","Green purple","Central part","25-50% leaf retention","5","White","2","150-300","Green purple","Green purple","4","Long (25-30cm)","Short","Present","Tending toward horizontal",13,3.25,15.4,3.85,18.4,4.6,33.8,8.45,0,36.2,I
